manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_actual_work_value
KOMATSU,PC200,8M0,C12992,2017-11-17T02:09:05+08:00,-5.372566,120.304299,2017-11-16,366.0
KOMATSU,PC200,8M0,C12991,2018-07-05T20:53:15+07:00,-1.375132,120.7615,2018-07-04,224.0
KOMATSU,PC200,8M0,C12990,2019-01-10T01:21:27+07:00,-6.459633,107.208633,2019-01-09,0.0
KOMATSU,PC200,8M0,C12989,2018-12-16T16:44:51+07:00,-1.692733,121.833666,2018-12-16,109.0
KOMATSU,PC200,8M0,C12984,2019-01-10T01:44:00+07:00,-6.786166,107.986033,2019-01-09,827.0
KOMATSU,PC200,8M0,C12983,2019-01-10T01:38:00+07:00,-6.8483,107.135132,2019-01-09,0.0
KOMATSU,PC200,8M0,C12982,2018-12-22T09:24:49+07:00,-3.686466,137.877399,2018-12-03,79.0
KOMATSU,PC200,8M0,C12981,2019-01-10T01:08:00+07:00,-6.678166,107.227967,2019-01-09,145.0
KOMATSU,PC200,8M0,C12980,2018-10-14T01:38:21+07:00,-2.2619,113.8782,2018-10-13,13.0
KOMATSU,PC200,8M0,C12979,2019-01-10T01:05:00+07:00,0.278832,115.930266,2019-01-09,240.0
KOMATSU,PC200,8M0,C12972,2019-01-09T01:28:28+07:00,-6.271766,106.993766,2019-01-08,0.0
KOMATSU,PC200,8M0,C12953,2019-01-10T01:21:28+07:00,-6.459899,107.208567,2019-01-09,535.0
KOMATSU,PC200,8M0,C12952,2019-01-10T01:13:28+07:00,-6.740233,107.248099,2019-01-09,507.0
KOMATSU,PC200,8M0,C12951,2019-01-10T01:45:27+07:00,-6.8582,111.527066,2019-01-09,505.0
KOMATSU,PC200,8M0,C12945,2017-09-08T01:30:03+07:00,-6.1971,106.092967,2017-09-07,14.0
KOMATSU,PC200,8M0,C12944,2018-12-02T01:00:00+07:00,1.2845,117.8858,2018-12-01,0.0
KOMATSU,PC200,8M0,C12942,2019-01-10T01:42:28+07:00,-6.777133,111.752833,2019-01-09,0.0
KOMATSU,PC200,8M0,C12929,2019-01-10T01:40:28+07:00,-6.3044,106.698366,2019-01-09,0.0
KOMATSU,PC200,8M0,C12928,2019-01-09T01:21:26+07:00,-0.104199,109.387133,2019-01-08,0.0
KOMATSU,PC200,8M0,C12927,2019-01-08T16:33:25+07:00,0.5233,111.626466,2019-01-08,217.0
KOMATSU,PC200,8M0,C12926,2018-09-27T03:42:16+09:00,-6.130766,106.6864,2018-09-26,0.0
KOMATSU,PC200,8M0,C12925,2018-02-01T01:28:00+07:00,0.737566,116.8014,2018-01-31,3.0
KOMATSU,PC200,8M0,C12921,2019-01-10T01:20:28+07:00,-6.974299,110.2525,2019-01-09,8.0
KOMATSU,PC200,8M0,C12920,2017-12-14T08:57:50+07:00,-3.588133,138.395499,2018-12-12,549.0
KOMATSU,PC200,8M0,C12919,2018-12-05T01:46:26+07:00,-3.701566,137.969033,2018-12-04,0.0
KOMATSU,PC200,8M0,C12918,2019-01-10T01:49:26+07:00,-3.8057,139.173766,2019-01-09,0.0
KOMATSU,PC200,8M0,C12917,2018-03-03T01:10:00+07:00,-2.7984,108.248567,2018-03-02,406.0
KOMATSU,PC200,8M0,C12916,2019-01-10T01:13:28+07:00,-1.277266,121.207632,2019-01-09,119.0
KOMATSU,PC200,8M0,C12915,2019-01-10T01:12:28+07:00,-7.059066,110.489699,2019-01-09,452.0
KOMATSU,PC200,8M0,C12914,2018-12-19T13:05:39+07:00,-3.3945,126.537866,2018-12-18,368.0
KOMATSU,PC200,8M0,C12913,2018-02-04T01:06:17+07:00,-6.155866,106.716133,2018-02-03,0.0
KOMATSU,PC200,8M0,C12912,2019-01-10T01:58:28+07:00,-6.166667,106.779366,2019-01-09,139.0
KOMATSU,PC200,8M0,C12911,2019-01-10T01:26:28+07:00,-0.854466,115.457333,2019-01-09,170.0
KOMATSU,PC200,8M0,C12901,2019-01-10T01:16:27+07:00,-3.627299,103.784299,2019-01-09,5.0
KOMATSU,PC200,8M0,C12899,2018-12-25T01:47:25+07:00,-3.802299,103.812299,2018-12-24,0.0
KOMATSU,PC200,8M0,C12896,2019-01-10T02:35:28+08:00,-1.3165,119.392632,2019-01-09,267.0
KOMATSU,PC200,8M0,C12895,2019-01-10T01:14:00+07:00,-7.282866,110.460299,2019-01-09,179.0
KOMATSU,PC200,8M0,C12894,2019-01-10T01:25:27+07:00,-6.876633,107.151166,2019-01-09,96.0
KOMATSU,PC200,8M0,C12893,2016-06-01T14:14:12+07:00,-0.638533,101.244233,2016-05-29,0.0
KOMATSU,PC200,8M0,C12882,2018-12-10T01:09:00+07:00,-1.264366,101.193266,2018-12-09,300.0
KOMATSU,PC200,8M0,C12881,2019-01-10T01:32:23+07:00,2.277233,117.369,2019-01-09,271.0
KOMATSU,PC200,8M0,C12880,2018-11-01T01:00:00+07:00,-0.710366,109.896799,2018-10-31,14.0
KOMATSU,PC200,8M0,C12879,2019-01-10T01:51:28+07:00,-0.655,109.883232,2019-01-09,417.0
KOMATSU,PC200,8M0,C12878,2017-03-03T01:07:00+07:00,-6.852933,107.3951,2017-03-02,0.0
