manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,comm_setting_group,comm_setting_group_id,comm_setting_group_td,db_group,db_group_id,db_group_country,customer,customer_id,customer_code,customer_country
KOMATSU,WB93R,5E0,F64048,2019-01-10T01:07:00+07:00,0.070233,110.695366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,AGRINA SAWIT PERDANA,331798.0,26547,ID
KOMATSU,WB93R,5E0,F64024,2019-01-09T00:34:00+07:00,-5.017466,119.575299,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PENGELUARAN DINAS PEKERJ,470059.0,36898,ID
KOMATSU,WB93R,5E0,F64023,2017-10-17T01:30:00+07:00,3.072166,97.974899,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,YAYASAN BENDAHARA BADAN,466543.0,36959,ID
KOMATSU,WB93R,5E0,F64022,2019-01-10T00:37:00+07:00,-3.798966,115.370366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BINUANG JAYA MULIA,346717.0,23048,ID
KOMATSU,WB93R,5E0,F64021,2019-01-09T23:48:00+07:00,-0.822533,119.8877,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BALAI PELAKSANAAN JALAN,464999.0,36861,ID
KOMATSU,WB93R,5E0,F64020,2018-12-13T11:01:00+07:00,-1.4546,120.642333,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BALAI PELAKSANAAN JALAN,464999.0,36861,ID
KOMATSU,WB93R,5E0,F64019,2018-12-23T13:58:00+07:00,1.062199,121.677066,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BALAI PELAKSANAAN JALAN,464999.0,36861,ID
KOMATSU,WB93R,5E0,F64015,2019-01-07T15:16:00+07:00,-7.609233,112.756699,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PEMEGANG KAS DINAS LINGKUNGAN,444553.0,35075,ID
KOMATSU,WB93R,5E0,F63995,2018-12-27T08:59:00+07:00,-6.594966,110.665266,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BENDAHARA PENGELUARAN DI,403118.0,36973,ID
KOMATSU,WB93R,5E0,F63994,2019-01-10T00:34:00+07:00,0.779233,117.667632,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PRIMATAMA ENERGI NUSANTA,438617.0,34164,ID
KOMATSU,WB93R,5E0,F63993,2019-01-10T01:26:00+07:00,2.487666,98.800467,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,DINAS PEKERJAAN UMUM KAB,448612.0,35673,ID
KOMATSU,WB93R,5E0,F63877,2017-05-18T01:22:00+07:00,-1.851966,102.9832,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PRATAMA AGRO SAWIT,454461.0,26643,ID
KOMATSU,WB93R,5E0,F63876,2019-01-10T01:00:00+07:00,-6.937466,110.528166,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,AROMA KOPIKRIM INDONESIA,452007.0,36116,ID
