manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,abnormality_code,abnormality_name,local_datetime,abnormality_smr,abnomrmality_onmonitor,abnormality_onmonitor_id,abnormality_action_level,abnormality_type,abnormality_type_id
KOMATSU,PC200,8M0,C12747,2019-01-10T01:09:24+07:00,-3.460599,114.781933,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T08:28:47+07:00,669369.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12747,2019-01-10T01:09:24+07:00,-3.460599,114.781933,CA132,THROTTLE SENSOR LOW ERROR,2019-01-09T15:52:53+07:00,669378.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12747,2019-01-10T01:09:24+07:00,-3.460599,114.781933,CA131,THROTTLE SENSOR HIGH ERROR,2019-01-09T15:55:27+07:00,669379.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12737,2019-01-10T01:31:27+07:00,0.323633,115.963832,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T15:39:16+07:00,692297.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12737,2019-01-10T01:31:27+07:00,0.323633,115.963832,DWK2KB,2STAGE BACK PRESSURE SOLENOID VALVE + SHORT CIRCUIT,2019-01-09T15:39:18+07:00,692297.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12723,2019-01-10T01:48:26+07:00,-2.563133,120.335499,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T07:32:50+07:00,291822.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12720,2019-01-03T16:07:17+07:00,4.9733,96.833567,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T07:15:22+07:00,530411.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12716,2019-01-10T01:49:16+07:00,-4.886466,139.560599,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T04:58:46+07:00,283127.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12714,2019-01-10T01:26:29+07:00,2.854867,117.403266,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T07:41:03+07:00,801431.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12708,2019-01-10T01:21:00+07:00,-2.975233,103.9276,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T06:19:02+07:00,586582.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12708,2019-01-10T01:21:00+07:00,-2.975233,103.9276,DXE6KA,MERGE-DIVIDER LS EPC SOLENOID VLV + OPEN CIRCUIT,2019-01-09T06:21:15+07:00,586584.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12708,2019-01-10T01:21:00+07:00,-2.975233,103.9276,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T06:19:04+07:00,586582.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12698,2019-01-10T01:41:00+07:00,2.062632,127.8159,DR31KX,F-O-V AUX CAMERA3 IMAGE REVERSE I/P + INPUT SIGNAL OUT OF SCOPE,2019-01-09T06:17:19+07:00,566107.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12698,2019-01-10T01:41:00+07:00,2.062632,127.8159,DR21KX,F-O-V AUX CAMERA2 IMAGE REVERSE I/P + INPUT SIGNAL OUT OF SCOPE,2019-01-09T06:17:19+07:00,566107.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12691,2019-01-10T02:17:24+08:00,-7.505566,109.032299,DB2QKR,C/R ENG CNTRLR CAN COMMUNICATION 2 + COMMUNICATION ERROR (COMPO LINE),2019-01-09T11:31:03+07:00,434379.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12687,2019-01-10T01:40:02+07:00,-3.294799,116.006833,DWK2KA,2STAGE BACK PRESSURE SOLENOID VALVE + OPEN CIRCUIT,2019-01-09T08:08:32+07:00,202908.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12687,2019-01-10T01:40:02+07:00,-3.294799,116.006833,DHA4KA,AIR CLEANER CLOGGING SENSOR(1) + OPEN CIRCUIT,2019-01-09T07:55:37+07:00,202895.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12687,2019-01-10T01:40:02+07:00,-3.294799,116.006833,B@BCZK,COOLANT + DECREASE IN QUANTITY,2019-01-09T07:56:07+07:00,202895.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC200,8M0,C12687,2019-01-10T01:40:02+07:00,-3.294799,116.006833,AA10NX,AIR CLEANER ELEMENT + CLOGGING,2019-01-09T07:56:22+07:00,202896.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC200,8M0,C12686,2019-01-10T01:20:00+07:00,2.158633,117.399466,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T07:22:49+07:00,469070.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12686,2019-01-10T01:20:00+07:00,2.158633,117.399466,DHPAMA,FRONT PUMP OIL PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T07:22:49+07:00,469070.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12686,2019-01-10T01:20:00+07:00,2.158633,117.399466,CA488,CHG AIR TEMP HIGH TORQUE DERATE,2019-01-09T09:48:42+07:00,469215.0,Yes,1.0,L03,Electrical,0.0
