manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_origin,gps_datum,gps_latitude,gps_longitude
KOMATSU,WB93R,5E0,F64289,2018-12-28T09:55:00+07:00,measure,WGS84,3.379199,117.104766
KOMATSU,WB93R,5E0,F64116,2018-10-26T09:00:00+07:00,measure,WGS84,-6.5051,106.870566
KOMATSU,WB93R,5E0,F64115,2019-01-09T23:27:00+07:00,measure,WGS84,-0.822299,119.887066
KOMATSU,WB93R,5E0,F64114,2019-01-02T01:02:00+07:00,measure,WGS84,-6.142899,106.832333
KOMATSU,WB93R,5E0,F64113,2019-01-10T00:09:00+07:00,measure,WGS84,0.878599,128.287199
KOMATSU,WB93R,5E0,F64111,2018-05-16T15:22:00+07:00,measure,WGS84,-6.156766,106.934066
KOMATSU,WB93R,5E0,F64109,2019-01-09T00:26:00+07:00,measure,WGS84,1.278966,124.6334
KOMATSU,WB93R,5E0,F64107,2019-01-10T00:39:00+07:00,measure,WGS84,-3.195533,121.079466
KOMATSU,WB93R,5E0,F64105,2019-01-08T17:46:00+07:00,measure,WGS84,-3.790766,104.175166
KOMATSU,WB93R,5E0,F64100,2018-11-08T11:55:00+07:00,measure,WGS84,-1.623033,103.643966
KOMATSU,WB93R,5E0,F64099,2019-01-10T00:55:00+07:00,measure,WGS84,0.300132,116.580333
KOMATSU,WB93R,5E0,F64065,2019-01-10T01:06:00+07:00,measure,WGS84,-2.261266,104.312999
KOMATSU,WB93R,5E0,F64057,2019-01-10T01:39:00+07:00,measure,WGS84,-0.759066,100.658166
KOMATSU,WB93R,5E0,F64056,2018-12-19T10:01:00+07:00,measure,WGS84,1.628033,99.201833
KOMATSU,WB93R,5E0,F64055,2017-12-25T13:36:00+08:00,measure,WGS84,0.314833,116.463832
KOMATSU,WB93R,5E0,F64053,2018-11-25T19:51:00+07:00,measure,WGS84,4.684699,96.841699
KOMATSU,WB93R,5E0,F64048,2019-01-10T01:07:00+07:00,measure,WGS84,0.070233,110.695366
KOMATSU,WB93R,5E0,F64024,2019-01-09T00:34:00+07:00,measure,WGS84,-5.017466,119.575299
KOMATSU,WB93R,5E0,F64023,2017-10-17T01:30:00+07:00,measure,WGS84,3.072166,97.974899
KOMATSU,WB93R,5E0,F64022,2019-01-10T00:37:00+07:00,measure,WGS84,-3.798966,115.370366
KOMATSU,WB93R,5E0,F64021,2019-01-09T23:48:00+07:00,measure,WGS84,-0.822533,119.8877
KOMATSU,WB93R,5E0,F64020,2018-12-13T11:01:00+07:00,measure,WGS84,-1.4546,120.642333
KOMATSU,WB93R,5E0,F64019,2018-12-23T13:58:00+07:00,measure,WGS84,1.062199,121.677066
KOMATSU,WB93R,5E0,F64015,2019-01-07T15:16:00+07:00,measure,WGS84,-7.609233,112.756699
KOMATSU,WB93R,5E0,F63995,2018-12-27T08:59:00+07:00,measure,WGS84,-6.594966,110.665266
KOMATSU,WB93R,5E0,F63994,2019-01-10T00:34:00+07:00,measure,WGS84,0.779233,117.667632
KOMATSU,WB93R,5E0,F63993,2019-01-10T01:26:00+07:00,measure,WGS84,2.487666,98.800467
KOMATSU,WB93R,5E0,F63877,2017-05-18T01:22:00+07:00,measure,WGS84,-1.851966,102.9832
KOMATSU,WB93R,5E0,F63876,2019-01-10T01:00:00+07:00,measure,WGS84,-6.937466,110.528166
KOMATSU,WB93R,5E0,F63875,2017-04-18T15:41:00+07:00,measure,WGS84,-0.926067,119.882967
KOMATSU,WB93R,5E0,F63869,2019-01-10T00:42:00+07:00,measure,WGS84,-6.996166,110.456067
KOMATSU,WB93R,5E0,F63866,2018-12-30T16:12:00+07:00,measure,WGS84,-3.820666,119.635233
KOMATSU,WB93R,5E0,F63800,2019-01-10T01:44:00+07:00,measure,WGS84,-1.076166,100.371699
KOMATSU,WB93R,5E0,F63799,2019-01-08T17:35:00+07:00,measure,WGS84,4.1145,96.299867
KOMATSU,WB93R,5E0,F63798,2017-09-23T01:22:00+07:00,measure,WGS84,-4.025233,105.491633
KOMATSU,WA800,3E0,70135,2019-01-10T01:44:00+07:00,measure,WGS84,-6.5183,106.942967
KOMATSU,WA800,3E0,70101,2019-01-10T01:34:00+07:00,measure,WGS84,-6.511466,106.945633
KOMATSU,WA800,3E0,70100,2018-12-15T15:26:00+07:00,measure,WGS84,-6.496733,106.923567
KOMATSU,WA800,3E0,70098,2019-01-10T01:39:00+07:00,measure,WGS84,-6.512666,106.945433
KOMATSU,WA800,3,50150,2019-01-10T01:23:00+07:00,measure,WGS84,0.538699,116.136266
KOMATSU,WA800,3,50149,2019-01-10T01:35:00+07:00,measure,WGS84,0.295166,116.624066
KOMATSU,WA800,3,50148,2019-01-10T01:03:00+07:00,measure,WGS84,0.525866,116.114899
KOMATSU,WA800,3,50147,2019-01-10T02:09:00+08:00,measure,WGS84,-2.165033,115.501766
KOMATSU,WA800,3,50146,2019-01-10T02:38:00+08:00,measure,WGS84,-2.159833,115.566266
KOMATSU,WA800,3,50144,2019-01-10T02:05:00+08:00,measure,WGS84,-2.305966,115.479233
KOMATSU,WA800,3,50143,2018-10-12T23:52:00+08:00,measure,WGS84,-2.304532,115.478766
KOMATSU,WA800,3,50142,2019-01-10T02:15:00+08:00,measure,WGS84,-2.231332,115.501366
KOMATSU,WA800,3,50141,2019-01-10T02:02:00+08:00,measure,WGS84,-2.194799,115.498832
KOMATSU,WA800,3,50140,2016-04-24T09:34:00+08:00,measure,WGS84,-2.181833,115.540399
KOMATSU,WA800,3,50139,2016-05-23T10:30:00+08:00,measure,WGS84,-2.182299,115.540066
KOMATSU,WA800,3,50138,2015-12-04T23:24:00+08:00,measure,WGS84,-2.2671,115.495566
KOMATSU,WA800,3,50137,2014-12-13T03:36:00+08:00,measure,WGS84,-2.183033,115.551166
KOMATSU,WA800,3,50136,2019-01-10T02:07:00+08:00,measure,WGS84,-2.2144,115.5351
KOMATSU,WA800,3,50135,2017-06-01T11:11:00+08:00,measure,WGS84,-2.215166,115.534799
KOMATSU,WA800,3,50133,2015-05-10T01:04:00+08:00,measure,WGS84,0.5996,117.438133
KOMATSU,WA800,3,50132,2014-09-25T10:19:00+08:00,measure,WGS84,0.602766,117.437233
KOMATSU,WA800,3,50129,2018-06-01T01:11:00+08:00,measure,WGS84,-2.232,115.501233
KOMATSU,WA600,3A,52725,2019-01-07T01:00:00+07:00,measure,WGS84,-6.156733,106.934199
KOMATSU,WA600,3A,52724,2019-01-10T01:40:00+07:00,measure,WGS84,-6.156733,106.934133
KOMATSU,WA600,3A,52722,2018-08-20T15:17:00+07:00,measure,WGS84,-6.157199,106.934233
KOMATSU,WA600,3A,52721,2019-01-10T01:30:00+07:00,measure,WGS84,3.724633,117.216199
KOMATSU,WA600,3A,52720,2019-01-10T01:42:00+07:00,measure,WGS84,3.726332,117.217367
KOMATSU,WA600,3A,52719,2019-01-10T01:22:00+07:00,measure,WGS84,-2.9707,115.196599
KOMATSU,WA600,3A,52718,2019-01-10T02:38:00+08:00,measure,WGS84,3.724833,117.214699
KOMATSU,WA600,3A,52717,2019-01-10T02:35:00+08:00,measure,WGS84,0.122632,117.366466
KOMATSU,WA600,3A,52716,2019-01-09T01:27:00+07:00,measure,WGS84,0.985033,117.666033
KOMATSU,WA600,3A,52715,2019-01-10T01:05:00+07:00,measure,WGS84,-3.224233,114.997399
KOMATSU,WA600,3A,52714,2019-01-10T01:34:00+07:00,measure,WGS84,-2.956633,115.208166
KOMATSU,WA600,3A,52713,2019-01-09T01:28:00+07:00,measure,WGS84,0.817399,117.8689
KOMATSU,WA600,3A,52712,2018-05-28T02:10:00+08:00,measure,WGS84,0.625467,117.432399
KOMATSU,WA600,3A,52709,2019-01-10T01:21:00+07:00,measure,WGS84,-3.599066,115.627533
KOMATSU,WA600,3A,52708,2019-01-10T01:20:00+07:00,measure,WGS84,0.985399,117.6694
KOMATSU,WA600,3A,52707,2019-01-09T01:25:00+07:00,measure,WGS84,-2.971699,115.200966
KOMATSU,WA600,3A,52706,2018-12-18T14:22:00+07:00,measure,WGS84,-2.971366,115.201166
KOMATSU,WA600,3A,52704,2018-02-11T01:35:00+08:00,measure,WGS84,2.318932,117.543599
KOMATSU,WA600,3A,52663,2019-01-10T01:43:00+07:00,measure,WGS84,-6.716233,108.391432
KOMATSU,WA600,3A,52662,2019-01-10T01:23:00+07:00,measure,WGS84,-3.934033,115.1876
KOMATSU,WA600,3,52694,2019-01-10T01:05:00+07:00,measure,WGS84,-6.717566,108.391366
KOMATSU,WA600,3,52688,2017-09-08T05:54:00+07:00,measure,WGS84,-0.403266,114.867133
KOMATSU,WA600,3,52687,2018-01-20T23:14:00+07:00,measure,WGS84,-0.403266,114.867166
KOMATSU,WA600,3,52685,2019-01-10T00:59:00+07:00,measure,WGS84,-0.4033,114.867199
KOMATSU,WA600,3,52684,2018-12-19T06:34:00+07:00,measure,WGS84,-0.401067,114.863333
KOMATSU,WA500,6R,60253,2019-01-10T00:37:00+07:00,measure,WGS84,-6.153499,106.934366
KOMATSU,WA500,6R,60249,2019-01-10T00:04:00+07:00,measure,WGS84,-6.153766,106.9344
KOMATSU,WA500,6R,60248,2019-01-09T00:42:00+07:00,measure,WGS84,-6.156766,106.934199
KOMATSU,WA500,6R,60246,2019-01-03T00:09:00+07:00,measure,WGS84,-6.153599,106.936966
KOMATSU,WA500,6R,60245,2019-01-09T01:07:00+07:00,measure,WGS84,-0.305966,117.045933
KOMATSU,WA500,6R,60242,2019-01-10T01:04:22+07:00,measure,WGS84,-3.683866,115.648166
KOMATSU,WA500,6R,60238,2019-01-10T01:31:00+07:00,measure,WGS84,-0.303733,117.047533
KOMATSU,WA500,6R,60233,2019-01-10T01:39:00+07:00,measure,WGS84,-3.562899,115.638866
KOMATSU,WA500,6R,60230,2019-01-10T01:06:00+07:00,measure,WGS84,-3.598633,115.630732
KOMATSU,WA500,6R,60229,2019-01-10T01:10:00+07:00,measure,WGS84,-0.608099,117.282999
KOMATSU,WA500,6R,60228,2019-01-10T02:13:00+08:00,measure,WGS84,-0.989033,114.3895
KOMATSU,WA500,6R,60221,2019-01-10T01:05:27+07:00,measure,WGS84,-3.7513,115.468232
KOMATSU,WA500,6R,60220,2019-01-10T02:18:00+08:00,measure,WGS84,-1.218066,114.803499
KOMATSU,WA500,6R,60219,2018-11-12T02:48:26+08:00,measure,WGS84,-1.2169,114.806332
KOMATSU,WA500,6R,60218,2019-01-10T01:07:28+07:00,measure,WGS84,-3.310599,116.029933
KOMATSU,WA500,6R,60214,2019-01-10T02:00:00+08:00,measure,WGS84,-3.817999,115.308366
KOMATSU,WA500,6R,60213,2019-01-10T02:20:00+08:00,measure,WGS84,-1.212733,114.801667
KOMATSU,WA500,6R,60210,2019-01-10T00:53:00+07:00,measure,WGS84,-3.751266,115.468232
KOMATSU,WA500,6R,60209,2019-01-07T18:37:00+07:00,measure,WGS84,-3.310066,116.030299
KOMATSU,WA500,6R,60204,2019-01-10T01:38:00+07:00,measure,WGS84,-1.124766,114.496366
KOMATSU,WA500,6R,60146,2019-01-10T01:39:00+07:00,measure,WGS84,-3.736166,115.655866
KOMATSU,WA500,6R,60145,2019-01-10T01:44:00+07:00,measure,WGS84,-3.736766,115.655999
KOMATSU,WA500,6R,60144,2019-01-10T01:04:00+07:00,measure,WGS84,2.215132,117.6039
KOMATSU,WA500,6R,60140,2019-01-10T01:27:00+07:00,measure,WGS84,2.164566,117.412
KOMATSU,WA500,6R,60139,2019-01-09T00:39:00+07:00,measure,WGS84,-3.751166,115.4684
KOMATSU,WA500,6R,60138,2019-01-10T00:50:00+07:00,measure,WGS84,-3.751199,115.4683
KOMATSU,WA500,6R,60137,2019-01-09T02:37:00+08:00,measure,WGS84,-0.841099,115.5301
KOMATSU,WA500,6R,60132,2019-01-10T01:13:00+07:00,measure,WGS84,-3.736266,115.654033
KOMATSU,WA500,6R,60131,2019-01-06T01:06:00+07:00,measure,WGS84,-0.586067,114.791966
KOMATSU,WA500,6R,60125,2019-01-08T15:42:00+07:00,measure,WGS84,-3.736332,115.654333
KOMATSU,WA500,6R,60124,2019-01-10T01:02:00+07:00,measure,WGS84,-3.737066,115.655633
KOMATSU,WA500,6R,60122,2019-01-07T17:34:00+08:00,measure,WGS84,-1.056833,114.684199
KOMATSU,WA500,6R,60121,2019-01-10T02:24:00+08:00,measure,WGS84,-1.057967,114.684633
KOMATSU,WA500,6R,60119,2019-01-10T02:36:00+08:00,measure,WGS84,-2.108533,114.870433
KOMATSU,WA500,6R,60118,2019-01-10T02:38:00+08:00,measure,WGS84,2.040766,117.448866
KOMATSU,WA500,6R,60117,2019-01-10T02:04:00+08:00,measure,WGS84,-2.363932,115.581332
KOMATSU,WA500,6R,60116,2019-01-10T02:17:00+08:00,measure,WGS84,-1.216633,114.806533
KOMATSU,WA500,6R,60115,2018-09-22T02:16:00+08:00,measure,WGS84,1.916466,117.291199
KOMATSU,WA500,6R,60111,2019-01-10T02:42:00+08:00,measure,WGS84,-1.053066,114.681933
KOMATSU,WA500,6R,60110,2019-01-10T02:10:00+08:00,measure,WGS84,-0.990433,114.3902
KOMATSU,WA500,3A,53181,2018-12-15T01:28:00+07:00,measure,WGS84,-3.045333,104.206667
KOMATSU,WA500,3A,53114,2019-01-10T01:41:00+07:00,measure,WGS84,-1.122999,114.487199
KOMATSU,WA500,3A,53113,2018-11-23T08:39:00+08:00,measure,WGS84,-0.977166,114.381099
KOMATSU,WA500,3A,53112,2013-09-20T08:45:00+07:00,measure,WGS84,-6.185499,106.9309
KOMATSU,WA500,3A,53108,2018-01-21T01:49:00+08:00,measure,WGS84,-2.227367,114.950732
KOMATSU,WA500,3A,53107,2019-01-10T02:28:00+08:00,measure,WGS84,-0.308033,117.040166
KOMATSU,WA500,3A,53106,2017-07-31T00:35:00+07:00,measure,WGS84,-3.085132,115.107333
KOMATSU,WA500,3A,53105,2017-06-08T01:10:00+07:00,measure,WGS84,-0.461799,117.125966
KOMATSU,WA500,3A,53104,2013-03-25T11:06:00+08:00,measure,WGS84,-6.117566,106.9433
KOMATSU,WA500,3A,53102,2017-07-09T07:14:00+07:00,measure,WGS84,-3.886099,115.304899
KOMATSU,WA500,3A,53101,2016-01-01T00:34:00+07:00,measure,WGS84,-3.797166,115.479532
KOMATSU,WA500,3A,53100,2019-01-10T01:08:00+07:00,measure,WGS84,-0.397199,113.4133
KOMATSU,WA500,3A,53099,2019-01-09T01:01:00+07:00,measure,WGS84,-3.887,115.3051
KOMATSU,WA500,3A,53098,2017-06-08T01:18:00+07:00,measure,WGS84,-3.797133,115.479566
KOMATSU,WA500,3A,53097,2019-01-10T01:23:00+07:00,measure,WGS84,-3.797367,115.479699
KOMATSU,WA500,3A,53096,2016-12-28T20:03:00+07:00,measure,WGS84,-3.801833,115.477899
KOMATSU,WA500,3A,53095,2015-08-06T01:23:00+07:00,measure,WGS84,-3.7975,115.479466
KOMATSU,WA500,3A,53094,2016-06-11T01:03:00+07:00,measure,WGS84,-3.8044,115.476466
KOMATSU,WA500,3A,53092,2019-01-09T01:35:00+07:00,measure,WGS84,-3.766199,115.449966
KOMATSU,WA500,3A,53078,2019-01-10T01:28:00+07:00,measure,WGS84,-3.933866,115.192433
KOMATSU,WA500,3,53216,2019-01-10T01:02:00+07:00,measure,WGS84,2.087233,117.318966
KOMATSU,WA500,3,53215,2019-01-10T02:28:00+08:00,measure,WGS84,-0.321667,114.833466
KOMATSU,WA500,3,53214,2016-12-17T01:09:00+07:00,measure,WGS84,-3.3045,116.032233
KOMATSU,WA500,3,53211,2019-01-10T01:18:00+07:00,measure,WGS84,-3.307999,116.031099
KOMATSU,WA500,3,53210,2018-11-08T01:25:00+07:00,measure,WGS84,-3.310467,116.030266
KOMATSU,WA500,3,53206,2019-01-10T01:03:00+07:00,measure,WGS84,-3.307766,116.029966
KOMATSU,WA500,3,53205,2018-12-31T01:19:00+07:00,measure,WGS84,3.7796,98.6809
KOMATSU,WA500,3,53204,2018-06-29T02:36:00+07:00,measure,WGS84,-3.740366,115.6582
KOMATSU,WA500,3,53203,2019-01-10T00:56:00+07:00,measure,WGS84,-3.784066,115.449966
KOMATSU,WA500,3,53202,2014-11-29T05:28:00+07:00,measure,WGS84,-2.968733,115.2108
KOMATSU,WA500,3,53201,2018-11-06T02:05:00+08:00,measure,WGS84,2.796033,117.526933
KOMATSU,WA500,3,53200,2015-07-03T05:39:00+07:00,measure,WGS84,-2.968433,115.211599
KOMATSU,WA500,3,53193,2019-01-09T02:22:00+08:00,measure,WGS84,-0.618932,114.800299
KOMATSU,WA500,3,53192,2019-01-10T02:16:00+08:00,measure,WGS84,-0.619066,114.798466
KOMATSU,WA500,3,53191,2019-01-10T00:30:00+07:00,measure,WGS84,-3.085333,115.1075
KOMATSU,WA500,3,53190,2019-01-10T01:18:00+07:00,measure,WGS84,-3.738666,115.6533
KOMATSU,WA500,3,53189,2019-01-10T01:42:00+07:00,measure,WGS84,2.088433,117.318533
KOMATSU,WA500,3,53188,2018-11-18T11:20:00+07:00,measure,WGS84,-2.884966,133.964733
KOMATSU,WA500,3,53187,2018-10-17T12:32:00+07:00,measure,WGS84,-3.782466,115.451933
KOMATSU,WA500,3,53186,2019-01-10T01:23:00+07:00,measure,WGS84,-3.045366,104.206533
KOMATSU,WA500,3,53185,2019-01-10T00:54:00+07:00,measure,WGS84,-3.668866,135.365299
KOMATSU,WA500,3,53180,2017-04-20T01:09:00+07:00,measure,WGS84,-3.0459,104.206933
KOMATSU,WA500,3,53177,2019-01-10T01:27:00+07:00,measure,WGS84,-1.125599,114.492899
