manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_smr_value,daily_smr_map
KOMATSU,PC200,8M0,C19821,2019-01-10T01:39:32+07:00,-5.921733,106.098033,2019-01-09,480.0,00000000ffff0ffff0000000
KOMATSU,PC200,8M0,C19820,2019-01-10T01:41:00+07:00,-0.544233,116.927066,2019-01-09,407.0,c000000ffff07f8000000000
KOMATSU,PC200,8M0,C19819,2019-01-10T01:14:32+07:00,-3.031033,105.515433,2019-01-09,519.0,0000001ff7fff113e7400000
KOMATSU,PC200,8M0,C19818,2019-01-10T01:11:00+07:00,-1.939199,104.168733,2019-01-09,763.0,000000043fffdc03ff773fff
KOMATSU,PC200,8M0,C19817,2019-01-10T01:14:32+07:00,0.907066,101.225399,2019-01-09,628.0,00000007fffffffffe000000
KOMATSU,PC200,8M0,C19816,2019-01-09T01:03:32+07:00,-1.823567,112.514033,2019-01-08,192.0,00000000ceff800000000000
KOMATSU,PC200,8M0,C19815,2019-01-10T01:20:00+07:00,-1.357799,103.757466,2019-01-09,698.0,0000000007ff03ffdffffff0
KOMATSU,PC200,8M0,C19809,2019-01-10T01:11:32+07:00,0.869199,122.6527,2018-12-14,1.0,000000000000000000000000
KOMATSU,PC200,8M0,C19808,2018-09-24T01:56:28+07:00,0.813666,122.992,2018-09-16,0.0,000000000000000000000000
KOMATSU,PC200,8M0,C19807,2019-01-10T01:45:00+07:00,0.524799,123.424066,2019-01-09,0.0,000000000720033ff003fff0
KOMATSU,PC200,8M0,C19806,2019-01-10T01:01:00+07:00,-2.123567,104.454633,2019-01-09,767.0,3f00001bfa61fe07fc07ffe1
KOMATSU,PC200,8M0,C19805,2018-12-30T01:36:31+07:00,2.382833,97.961699,2018-12-29,6.0,000000000000000000000000
KOMATSU,PC200,8M0,C19804,2018-06-10T06:24:30+07:00,0.872333,122.657233,2018-06-10,11.0,000000800000000000000000
KOMATSU,PC200,8M0,C19801,2019-01-10T01:51:32+07:00,-8.014867,110.733166,2019-01-09,244.0,00000007f0ff040000000000
KOMATSU,PC200,8M0,C19800,2019-01-10T01:42:32+07:00,0.562533,121.238766,2019-01-09,847.0,8fc0073ffc8c3ffe707fff00
KOMATSU,PC200,8M0,C19784,2019-01-10T01:03:00+07:00,0.535966,101.602799,2019-01-09,578.0,0000001fffff07fffe000000
KOMATSU,PC200,8M0,C19783,2019-01-10T02:06:32+08:00,0.923666,117.105966,2019-01-09,397.0,0000020f07e3fff000200000
KOMATSU,PC200,8M0,C19782,2019-01-08T15:24:29+08:00,-3.138533,113.651332,2019-01-08,977.0,00000003fffc0ffff00ff800
KOMATSU,PC200,8M0,C19780,2019-01-10T01:05:33+07:00,-5.245599,105.2132,2019-01-09,411.0,00000001ffff0f3f80000000
KOMATSU,PC200,8M0,C19779,2019-01-10T02:02:00+08:00,-0.158033,117.148733,2019-01-09,1072.0,ffff00ffffe0ffff01fe3ff3
KOMATSU,PC200,8M0,C19778,2019-01-10T01:02:33+07:00,-0.520533,115.541067,2019-01-07,364.0,000000000000000000000000
KOMATSU,PC200,8M0,C19777,2019-01-10T02:45:33+08:00,0.923766,117.105833,2019-01-09,519.0,0000020ffef1ffff00000000
