manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,value
KOMATSU,WD600,3,50413,2017-02-25T02:27:00+08:00,-3.749666,103.752933,2017-02-24,7433.0
KOMATSU,WD600,3,50383,2018-05-07T12:15:00+07:00,-0.424799,114.833666,2018-11-29,9304.0
KOMATSU,WD600,3,50372,2018-09-05T00:23:00+07:00,-0.408766,114.839867,2018-09-04,9771.0
KOMATSU,WB93R,5E0,F64540,2019-01-10T00:15:00+07:00,-6.153666,106.934532,2019-01-09,27.0
KOMATSU,WB93R,5E0,F64539,2018-11-29T00:18:00+07:00,-6.1557,106.934933,2018-11-28,22.0
KOMATSU,WB93R,5E0,F64538,2019-01-10T00:03:00+07:00,-6.153666,106.934666,2019-01-09,23.0
KOMATSU,WB93R,5E0,F64536,2019-01-10T00:02:00+07:00,-6.153699,106.934633,2019-01-09,23.0
KOMATSU,WB93R,5E0,F64535,2019-01-10T00:05:00+07:00,-6.153599,106.934666,2019-01-09,24.0
KOMATSU,WB93R,5E0,F64534,2019-01-09T00:04:00+07:00,-6.153633,106.934666,2019-01-08,25.0
KOMATSU,WB93R,5E0,F64533,2019-01-10T00:42:00+07:00,-6.153533,106.934466,2019-01-09,27.0
KOMATSU,WB93R,5E0,F64532,2019-01-09T00:17:00+07:00,-6.153699,106.9344,2019-01-08,24.0
KOMATSU,WB93R,5E0,F64530,2019-01-10T00:10:00+07:00,-6.153832,106.934333,2019-01-09,24.0
KOMATSU,WB93R,5E0,F64528,2019-01-09T00:11:00+07:00,-6.153666,106.934532,2019-01-08,26.0
KOMATSU,WB93R,5E0,F64502,2019-01-09T00:21:00+07:00,-6.153533,106.934532,2019-01-08,29.0
KOMATSU,WB93R,5E0,F64500,2019-01-09T00:49:00+07:00,-6.153567,106.934466,2019-01-08,30.0
KOMATSU,WB93R,5E0,F64499,2019-01-10T00:08:00+07:00,-6.153567,106.934566,2019-01-09,30.0
KOMATSU,WB93R,5E0,F64498,2018-10-31T00:51:00+07:00,-6.153699,106.934366,2018-10-30,12.0
KOMATSU,WB93R,5E0,F64497,2019-01-10T00:50:00+07:00,-6.153567,106.934633,2019-01-09,29.0
KOMATSU,WB93R,5E0,F64495,2019-01-10T00:10:00+07:00,-6.153567,106.934733,2019-01-09,30.0
KOMATSU,WB93R,5E0,F64494,2019-01-09T00:05:00+07:00,-6.153567,106.934666,2019-01-08,32.0
KOMATSU,WB93R,5E0,F64493,2019-01-10T00:07:00+07:00,-6.153567,106.934532,2019-01-09,29.0
KOMATSU,WB93R,5E0,F64492,2019-01-10T00:28:00+07:00,-6.153567,106.934633,2019-01-09,31.0
KOMATSU,WB93R,5E0,F64491,2019-01-10T00:10:00+07:00,-6.153666,106.934466,2019-01-09,32.0
KOMATSU,WB93R,5E0,F64490,2019-01-10T00:09:00+07:00,-6.153633,106.934466,2019-01-09,29.0
KOMATSU,WB93R,5E0,F64488,2019-01-09T00:08:00+07:00,-6.153666,106.934566,2019-01-08,31.0
KOMATSU,WB93R,5E0,F64486,2019-01-09T00:04:00+07:00,-6.153599,106.934433,2019-01-08,29.0
KOMATSU,WB93R,5E0,F64480,2019-01-10T00:12:00+07:00,-6.153666,106.934566,2019-01-09,32.0
KOMATSU,WB93R,5E0,F64477,2019-01-10T00:13:00+07:00,-6.153633,106.9346,2019-01-09,31.0
KOMATSU,WB93R,5E0,F64475,2019-01-10T00:25:00+07:00,-6.153699,106.934566,2019-01-09,33.0
KOMATSU,WB93R,5E0,F64474,2019-01-10T00:26:00+07:00,-6.153699,106.934466,2019-01-09,32.0
KOMATSU,WB93R,5E0,F64472,2019-01-10T00:23:00+07:00,-6.153666,106.934466,2019-01-09,32.0
KOMATSU,WB93R,5E0,F64471,2019-01-10T00:37:00+07:00,-6.153666,106.934532,2019-01-09,31.0
KOMATSU,WB93R,5E0,F64470,2019-01-09T00:19:00+07:00,-6.153666,106.934532,2019-01-08,32.0
KOMATSU,WB93R,5E0,F64469,2019-01-10T00:10:00+07:00,-6.153666,106.934666,2019-01-09,32.0
KOMATSU,WB93R,5E0,F64468,2019-01-10T00:16:00+07:00,-6.153599,106.934699,2019-01-09,33.0
KOMATSU,WB93R,5E0,F64467,2019-01-10T01:19:00+07:00,-2.092199,113.085366,2019-01-09,339.0
KOMATSU,WB93R,5E0,F64466,2019-01-10T01:26:00+07:00,-7.1326,112.609532,2019-01-09,86.0
KOMATSU,WB93R,5E0,F64463,2019-01-10T00:54:00+07:00,-0.3252,114.834266,2019-01-09,103.0
KOMATSU,WB93R,5E0,F64449,2019-01-10T01:43:00+07:00,-3.322967,113.733266,2019-01-09,106.0
KOMATSU,WB93R,5E0,F64446,2018-12-06T21:24:00+07:00,0.675633,117.226733,2018-12-07,30.0
KOMATSU,WB93R,5E0,F64445,2019-01-10T01:08:00+07:00,0.977367,116.4826,2019-01-09,312.0
KOMATSU,WB93R,5E0,F64439,2019-01-10T01:36:00+07:00,-1.766733,110.492133,2019-01-09,496.0
